kanji,kanji-meaning,reading-on,reading-kun,radical,radicals-icons,radicals-icons-names,,meaning-mnemonic,meaning-info,reading-mnemonic,reading-info,id,
?,Person,"??, ??","??, ?",?,-,person,,Remember how the radical version of this kanji meant person because it's a person walking from the side with their arms down? Well this is a person too!,"Know the radicals, and you shall know the kanji.","Only one person at Nintendo (??) complained about the new Jeans (??) policy, and that person was you.","Imagine how angry you were about the policy. You'll have to come up with something to be angry about yourself (pick something that would actually make you angry, like maybe you're only allowed to wear cut off short-shorts jeans at Nintendo now), but if you pick something good, you'll definitely remember the two readings for this. Just remember you're working at Nintendo, and the policy has to be something about jeans. Then, imagine yourself as the only person complaining and everyone else in their dumb jeans (or lack-thereof) shaking their head at you because you're being a fool.",37,level1 kanji
?,"Power, Strength","???, ??",???,?,-,power,,The radical and the meaning of this kanji are the same. Both are Power.,"If you know the radicals, you should be feeling fine... No, you should feel powerful!","Who has the most Power of anyone? It's the Power Rangers. Who are they battling? Ricky the Rock (??, ???) Monster.","Know anyone named Ricky (??), even a famous person like Ricky Ricardo or Ricky Gervais? Put his face on the monster the Power Rangers are fighting. Also, imagine him throwing rocks (???) and hitting people with them. You should imagine it as more gruesome than Power Rangers was on the show. This is real, yo (and gruesome will help you to remember).",38,level1 kanji
?,River,??,??,?,-,river,,The river radical and the river kanji are the same as each other!,"So, if you know the radical you know the kanji as well.","So you're in a river. As you're floating down, enjoying yourself, you bump into something. It says ""moo"" to you. You look around. There are hundreds of cows (??) surrounding you.",Touch them as you float by. Smell them. Is the river filled with cow poop? Probably. Use that to help you to remember that you run into cows when you're in the river.,39,level1 kanji
?,Seven,??,"??, ??",?,-,seven,,"Lucky for you (as is the case with many of the lower-stroke kanji), this kanji is the same as the radical you've already learned. The radical that makes up this kanji is seven and the kanji (which is exactly the same) is also seven. So, if you know the radical, you know the meaning of the kanji as well.",Make sure you know your radicals well and you'll be A-Okay on this one!,"You know this kanji means Seven, so let's use that to remember the reading too. Seven is a lucky number, usually, but this time it wasn't so good. Seven percent is all she got on her test after she cheated (??) on it.","How unbelievable is it that someone got seven percent on a test, especially if you try to cheat? Imagine the girl you loathe the most from school, and imagine her cheating on the test (it's important it's a girl, because of the ""she"" part in she cheated (??). Then, imagine your happiness when she's super upset about getting seven percent on it. Serves her right, obviously.",40,kanji level1
?,Ten,???,??,?,-,cross,,This cross is the symbol for the number ten. A good way to remember this is to think about all the religions that have crosses and also important sets of tens.,"If you're familiar with Christianity, they have a cross and ten commandments. Cross = ten, you see?",This cross in particular has ten jewels (???) on it. Two on each arm and two in the middle. That's ten jewels!,"Picture the jewels on this cross. Maybe draw it out on a piece of paper so the visual really sticks. Each cross is really a symbol for different sets of ten things, and in this case, it's ten jewels.",41,level1 kanji
?,Three,??,?,"?, ?",-,"ground, two",,This kanji is made up of the ground radical (which also happens to be the kanji for "one") and the radical for two. Combine one and two together and what do you get? Three!,"This one should be pretty self explanatory! Even easier, you can look at this kanji and see it has three straight lines. You know what one looks like. You know what two looks like. So... this is three!","Three is the number of chances you get with Santa-san (??). He has a list, and when you get to three ""naughty things"" lines, that's it. You're on Santa-san's three strikes and you're out list.","Picture Santa-san sitting at his desk at the North Pole, eating cookies, and marking one, two, then finally three lines next to names. Once the third line appears, the kid doesn't get presents anymore.",42,kanji level1
?,Two,?,??,?,-,two,,"The kanji two and the radical two are the exact same things. Therefore, you know the kanji for two already!","More simply put, you can just know that this kanji is the double of One. It's two lines, that's not all that hard to remember!","Think of all the things you have Two of. What is the most important? Some would say eyes, some would say ears. I would say the knee (?) because if you didn't have them, it'd be really hard to go up stairs.","Imagine yourself without two knees, and see what it would be like. What would give you trouble? What couldn't you do? Just imagining this for a minute or two will help you to remember the reading of this kanji more effectively.",43,level1 kanji
?,Woman,??,"???, ?",?,-,woman,,The radical for woman and the kanji for woman are exactly the same.,"That means if you know your radicals well, you know the meaning of this kanji as well! How swell.","When you think of a woman, think of Jo-Anne (??), though she usually goes by just ""Jo.""","Whenever the reading ?? comes up, we will use the character Jo-Anne. She's quite a short woman, which is to help us differentiate ?? from ??? (who is the giant, oafish farmhand Jourm). ?? is a smaller lady, ??? is a giant man.",44,level1 kanji
?,Again,-,??,?,-,stool,,You're sitting on your stool again!!?,"There's someone you know who carries a stool around with her all the time. Why? Because she's super pregnant and can't walk too far. You're walking with her, but she has to stop every few feet and sit on her stool, again and again. Feel irritated about this, because it will help you to remember the meaning of this kanji better. Imagine this scene taking place several times as you're trying to walk to your destination together, but she's too slow and it's super-duper irritating.","So, she's really pregnant, and carrying a stool, sitting on it again and again. Where are you two going? Where would a super preggers person go? Well, she needs to go to the matanity (??) store to get new clothes for her giant baby stomach.","I know ""mata"" and ""maternity"" are a bit of a stretch, but the goal is to get you to the memory of ?? in your head, so they don't necessarily need to be exactly the same. If this can get you to the correct memory in your head, then it does the right thing, and that's good. So, make that your goal and you'll probably remember the reading for this kanji!",119,level2 kanji
?,Ball,???,??,"?, ?",-,"king, drop",,The king has something in his hand that he's dropping... but it bounces too! He's bouncing a ball,"This kanji looks just like a king bouncing a ball, no? If not, imagine the kanji itself bouncing the drop (the ball) over and over again, then laying some hoops like a pro.",Think of someone curled up in a ball. It is someone you know / someone famous named “Tom” (??).,"So, who's in a ball? Which ""Tom"" did you choose?",120,level2 kanji
?,"Book, Origin, Real, Main",??,??,?,-,book,,"The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for book first! If you know the radical, you know this kanji means book as well. Take note that the second, third, and fourth meanings of this kanji are origin, real, and main. You can figure this out by thinking about how books mainly have their origins in real life.","Make sure you know those radicals, yo! And good luck with all the meanings (sorry sorry sorry).","Books are one of the best ways to hone (??) your intellect, you know?",Just think about books and how you use them to hone your skills. Or read a book about honing things. Like swords.,121,level2 kanji
?,"Child, Kid","?, ?",?,?,-,child,,The child radical and the child kanji are exactly the same.,"So, if you know your radicals, you know your kanji as well! This won't last forever (where radicals are exactly the same as the kanji) so enjoy it while the kanji are still small and simple!","To remember the sounds ? and ? we'll use these mnemonics: There is a child standing in front of you. You look closely at the child but something seems wrong. You rub your eyes and when you open them again there is a sheep (?) in a suit (?) in front of you. You yelp, blink, and it's back to being a child. Are... all children really just sheep in suits?!","The child runs away and you chase after it. Every time it's about to turn a corner it looks like a sheep in a suit again, but whenever you yell and point, it turns back. You're the only one who can see this sheep suit child!!",122,level2 kanji
?,"Circle, Circular, Round",??,??,"?, ?",-,"nine, drop",,What's something with nine sides? Just add a drop and you'll have something that's almost a circle.,It's not quite a circle though. You just need to add a drop of liquid to the edges to smooth it out to become a full circle.,"Do you know about the adorable cat Maru? If not, you should check it out. May seem like a distraction, but if you come back knowing the reading for this kanji, then it's totally worth while. When you think about a circle, think about Maru all rolled up in a little circle, being super adorable. Don't tell me it doesn't melt your heart just thinking about it. Alternatively, you could also look at this kanji and think of Maru inside of a box, with his little tail sticking out of it. Whatever works best for you, just get yourself to ""Maru.""","Obviously if you ""don't know this reading"" well enough, you should watch some more Maru videos. I'll understand... just make sure you come back someday, okay?",123,kanji level2
?,Correct,"??, ???","??, ??","?, ?",-,"ground, stop",,There is a line on the ground so you stop and a giant sign pops up that says CORRECT! You obeyed the rules of the road and did the correct thing.,"Imagine walking, staring at the ground until you come across a line that you're supposed to stop at. If you stop, the big ""correct"" sign appears, chiming a happy tune.","You did the correct thing, so the Shougun (???) shows up to reward you! He holds out a shiny new saber (??) in his hand, gently taps it onto each of your shoulders, and then hands it to you. It's big, curved and you love it.","Being correct got the Shougun to notice you AND a new saber. You better make sure to answer this kanji correctly in your reviews too, so you can keep being correct and have more nice things happen.",124,level2 kanji
?,"Dirt, Soil, Earth, Ground","?, ?",??,?,-,dirt,,The dirt radical and the dirt kanji are the same!,"As long as you know the radical dirt, you know the kanji dirt.","Who spends a lot of time in dirt? Dogs (?) do! Dogs dig in dirt, they roll in dirt, sometimes they try to eat dirt (which isn't so great).",Dogs and dirt just go together!,125,level2 kanji
?,Dog,??,??,?,-,dog,,The dog radical and dog kanji are exactly the same!,Soon there will be very few kanji/radical-same combos ... so enjoy it while you can.,"You see an emu running towards you from off in the distance (strange to see an emu in these parts...). As it gets closer, you realize that it's not an emu at all, it's something that sounds the same, or similar... an inu!","There's a good chance you know the word for dog in Japanese already too. If so, you're ahead of the game. If not, do your best to learn the reading before moving on.",126,level2 kanji
?,Evening,??,??,?,-,evening,,The evening radical and the evening kanji are the same. If you know the radical you know the meaning of the kanji.,Do what you're meant to do. Study those radicals!,The evening is when all the youths (??) come outside to play.,"Young people love staying up the entire evening doing youth-people things, and it's really obnoxious for us curmudgeonly folk. Note: All the ?? readings will use the word ""youths"" for the reading mnemonic. You can think of these ""youths"" as a group of younger people who cause a lot of the problems in this world, just like how people treat millennials nowadays.",127,level2 kanji
?,Exit,???,"?, ?",?,-,mountain,,"There are two mountains in front of you... and probably a bunch more around you too. You are in a pass, and don't know how to get out. You are frantically looking for the exit before you freeze to death. The most important thing is to find the exit from this mountain range - your life depends on it.","In your imagination, really feel like your life depends on getting out. The important part is the feeling of ""needing to get out of the mountain pass."" If you have this feeling, you'll be more likely to remember that this kanji means exit, because that's what you want to do when you see this kanji.","As you're trying to exit this mountain range, you suddenly realize that someone is actually hunting you. What? Make sure to feel that sudden realization. It's crazy. Then, you find the exit and run towards it. Sadly, the hunter is waiting there, and he shoots you (???) through the leg, knocking you down.","Focus on the surprise of realizing you're being hunted while trying to find the exit to the mountain range, then focus on the next part, where you get shot. View it in your head as the hunter shooting you. Powww!",128,level2 kanji
?,Eye,??,?,?,-,eye,,"The eye radical and eye kanji are the same as each other, so now you know them both.","Well... you'll know them both as long as you studied your radicals, young grasshopper. If you didn't, then you're just a young grasshopper who needs to study his/her radicals.","Your eyes are important to you, right? Sadly, one of your eyes is missing right now, because a sheep grabbed it and pulled it out, and is now running away from you, yelling his sheep call.... ""Mehhhhhh (?)!""","Of course, feel the pain of your eye being gone... and struggle to get it back. You eventually give up because the sheep is too fast, but then you come up with an idea. What if I call out back to the sheep in its own language? Go ahead and cover one eye and start making ""MEHHH"" noises to see if you can get the sheep to come back to you and give you your eye. It's up to you whether it works or not, but be sure to feel frustrated by its reaction, or happy by it. Either one works.",129,level2 kanji
?,"Finish, Complete, End",???,-,?,-,barb,,"Think about it this way. There is a famous fishing lure inventor, working on his best work ever. He’s old, and he’s been trying to make the best fishing lure for the last 50 years, and knows this will be his last invention. Then he figures it out. He takes one barb, and connects the end of it to the top of another barb. When he does this, he knows his work is finally finished.","Make sure you look at this amazing fishing lure too - hold it in your hand, see the two barbs fused together. Think about how strange this lure is. Is this really the best in the world? Will this really finish all other fishing lures?",How does the fish lure maker test his newly finished lure out? The one he just finished? He gets in a row (???) boat and rows out into the sea.,"Make him think that he can’t just use his new lure on the side of the lake / ocean / whatever. He has to get out there, but unfortunately all he has is a crappy row boat. Imagine the row boat being terrible, leaky, and dangerous, which is why you’re surprised when he goes for it. That’s a terrible row boat to use! If you do this, you'll focus your mind on the rowboat part of things, which will help you to remember the reading of this kanji.",130,level2 kanji
?,Fire,?,"?, ?",?,-,fire,,The fire radical and the fire kanji are the same as each other.,If you know the radicals then this one is EZPZ.,"Whenever we need to remember ?, we use the word car. For this kanji, when we think fire, we ought to think of something on fire. What's on fire? It's obviously your very own car (?)! Oh Goddd NOOO!","Oh no... Oh no!! If you don't have a car, imagine what it'd feel like if your car just exploded and burned down. If you do have a car, imagine your own car in this situation. It should be a terrible feeling, if you imagine it well enough. So, when you think fire, remember the fear you had when your car was given to the flames. Now you have to walk everywhere, sad :(",131,level2 kanji
?,Five,?,??,?,-,five,,The five radical and the five kanji are the same.,"Know your radicals, friend-o.","Five is the number of buildings Godzilla (?) will knock down. Oh, look! There he goes now.","One, two, three, four, five—GODZILLA IS HERE GO GO, RUN!",132,level2 kanji
?,Four,?,"??, ?","?, ?",-,"mouth, legs",,"Imagine contorting yourself in such a way that your legs end up inside your mouth. You have bent your body in all the wrong ways in order to achieve this. In fact, if you look at yourself, you look like a square now... You're just a person with four sides.","If you can get to square, you should be able to get to four as well, since squares always have four sides.","This amazing feat, which turned you into a four sided square, has you looking like a four sided animal: the sheep (?). Look at yourself in the mirror and see an adorable four-sided sheep looking back at you. (You can't see the other sides because mirrors aren't 3D and whatnot. So you're a bit cartoonish.)",What's better than one four sided sheep?,133,level2 kanji
?,Genius,??,-,"?, ?, ?",-,"ground, barb, slide",,On the ground you put barbs at the bottom of a slide because you're a genius trying to catch another genius.,"Imagine yourself placing the barbs in front of the slide, thinking about how your genius plan will surely catch another genius.","You check your genius trap, and there's a genius stuck in the barbs! You know it's a genius because they're actually a cyborg (??).","Cyborgs have brain implants, so they're definitely all geniuses.",134,level2 kanji
?,Hand,"??, ?",?,?,-,hand,,The hand radical and the hand kanji are identical in looks and meaning! That should make things easy!,Make sure you're studying your radicals. It won't be forever that radicals and kanji overlap so nicely like this!,"To remember the reading ? we will use the word ""Television."" You have great hands. Go ahead and look at them. OH MY GOD. You have little televisions (?) on your hands. They are playing the dumbest show you can think of, too, both hands at the same time.","You try to shake your hands off, but it's no good. The televisions are stuck, and the volume won't go down. You have no idea how you got these televisions on your hands. All you know is that you want them off right this instant.",135,level2 kanji
?,Heaven,??,??,?,-,heaven,,"The radical heaven is the same as the kanji heaven, making this an easy kanji to memorize.","If you know your radicals well (and you should!) you know the meaning of this kanji well, as well!","Heaven... nowadays, people aren't all that good. Things have gotten bad. That's why the acceptance rate to get into heaven is only ten (??) percent!","Imagine yourself in line to get into heaven. You're super worried, because you're not sure if you'll get in. You heard there was a one in ten chance... those aren't good odds. Feel nervous in your imagination. Feel worried. Feel the pressure as you get closer and closer to the gate... will you make it?? Ten percent!",136,level2 kanji
?,King,??,-,?,-,king,,The king radical and the king kanji are the same!,"Hopefully you're a king of radicals... because if you are, this kanji was super easy for you!","When you see the king you need to say, ""Oh (??) King! Oh King, oh no, oh why are you looking at me like that? Oh King... you aren't going to chop off my head are you? OH NO!""","You need to be polite when you talk to the king and add ""Oh"" to the beginning, otherwise the king will be pretty angry and bad things might happen. We're going to use the ? kanji for all ?? mnemonics from now on. So make sure you always remember to say ?? King!",137,kanji level2
?,Left,?,???,"?, ?",-,"narwhal, construction",,"Narwhals do construction with their left hands (or flippers, I guess). That's because all narwhals are left-handed!",Picture a bunch of narwhals constructing an underwater ice village. They're all working away with their left hands.,"In their left hands, the narwhals all hold saws (?). That's because the ice for their homes is already there, so they just need to saw away at them to make the shapes they want. Narwhal construction is actually very simple.","If you're right-handed, imagine trying to use these left-handed saws. It flips and flops all over until you drop it. But if you're left-handed it feels just right!",138,level2 kanji
?,"Middle, In, Inside, Center",???,??,?,-,middle,,"The radical Middle and the kanji Middle are both the same. So if you know one, you know the other.","Make sure you're studying your radicals, otherwise you might find yourself in the middle of a kanji-learning problem.","To remember the reading for this kanji, we use the word Chewbacca to pull up ??? in our memory. If you remember back to the radical ?, the middle of your mouth was stabbed with a stick. You look up to see who did it. There stands Chewbacca, doing his Chewbacca yell. And it isn't a stick in your mouth, it's an arrow from his crossbow (a bowcaster, actually). It just so happens Chewbacca's bowcaster looks just like this kanji too. Go figure.","Imagine the fear and shock you'd feel after finding out it was Chewbacca who shot the middle of your mouth (and head). Touch his fur. Look really close at his weapon. Give him a sniff, too. Just so that memory never fades away.",139,level2 kanji
?,"Moon, Month","??, ??",??,?,-,moon,,The moon kanji is made up of the moon radical.,This should be EZPZ as long as you know the radicals already!,"Since ?? and ?? are quite similar, we'll use one mnemonic to cover both of them. I expect your experience learning Japanese throughout the future will help you to memorize and differentiate between the two. When the moon goes down and goes away, everyone in the world gets (??) up, because that means it's going to be daytime soon!","This one might not be as memorable at first, but if you think of the moon, and think about what people do when the moon is up, you'll come to sleeping. Then naturally you can think about what happens when the moon goes down... people gets up!",140,level2 kanji
?,"Repeater, Repetition, Reduplication, Iteration Mark",-,??,"?, ?",-,"prison, drop",,"This is a strange kanji because it doesn't really mean anything at all. In fact, what it does is it repeats the kanji that comes before it. For example: ?? is actually ??. This kanji shows up whenever there's a repeating kanji, because it's often easier to write than writing a more complicated kanji twice. That's why this kanji is the repeater. It repeats what comes before it. To remember that this kanji is the repeater, though, think of a drop of water dripping into a prison. Drip drop drip drop. It does that over and over again, driving the prisoners nuts. But it never stops. It just repeats over and over.","Since this kanji doesn't really have a meaning as much as it does a function, try to change the way you think about it when you're memorizing it.","In Japanese, this symbol is often called the ?? because it looks like the katakana characters ? and ? put together. If you know katakana then this will be easy to read. If you don't, think of it this way: Your mom is the repeater. She is trying to force feed you over and over again until you explode (literally). You keep yelling ""No ma!"" (??) but she doesn't stop. She's on a repeating track, never stopping, repeating forever.","If you feel like you're so full you're about to burst, and if you imagine your mom doing this to you (how could you, ma?), you should be able to remember the reading of this kanji. That being said, the reading is mostly only useful in the event that you have to identify a ?—otherwise, you won't see it much.",141,kanji level2
?,"Rice Paddy, Rice Field, Field",??,?,?,-,rice-paddy,,"The rice paddy radical and the rice paddy kanji are the same, making this one super easy to remember, at least meaning-wise.","Just know your radicals, and you will know your kanji as well.","To remember the reading ?, we use the word ""taco."" You're in the rice field... but when you lean down to examine the rice more closely, you see that it's not rice that's growing, it's a bunch of little tacos (?), blossoming out of the ground.",Smell the tacos. Touch the tacos. Taste the tacos. This is definitely a very strange rice field.,142,level2 kanji
?,Right,"??, ?",??,"?, ?",-,"narwhal, mouth",,"Narwhal mouths are on the right side of their head. In fact, some people didn't think they had mouths at all because they weren't looking from the right. Rookie mistake.",Imagine looking at a narwhal from the front. No mouth. Now look at it from the right. Mouth!,"How did we know to look from the right, though? Because of the youths (??). Youths think in ways that older people usually don't. That's why they can see the swirls on cereal, hear the music behind noise, and of course, look at things from the right side.","Imagine a bunch of youths walking in a group and looking at everything from the right. You remember when you were a youth and you used to look at everything from one side too. Note: All the ?? readings will use the word ""youths"" for the reading mnemonic. You can think of these ""youths"" as a group of younger people who cause a lot of the problems in this world, just like how people treat Millennials nowadays.",143,level2 kanji
?,Six,??,?,"?, ?",-,"lid, fins",,"Just imagine a beast with a lid for a head and fins for feet, running around looking as insane as possible (really imagine it!). When it runs up to you, it shows you the top of its lid-head. On it is written the numbers 666. Why? Because it's a spawn of the devil, and the number six is the devil's number.","Imagine this beast doing various crazy things, the crazier the better (to help you remember). Make sure all these things are associated with the devil and the devil's number (six), so you can remember the meaning of this kanji.","Whenever we need to remember the reading ?? we just use the word rock. So, think about the devil and the devil's number. What is often associated with those things? Why, rock (??) and roll is. Imagine the lid-head fin-legged beast suddenly blasting out rock music in the middle of his destructive mayhem.","Sing along with the monster, if it helps you to remember the reading of this kanji.",144,level2 kanji
?,"Small, Little",???,"??, ?, ?",?,-,small,,The small radical and the small kanji are exactly the same.,"Knowing radicals sure is nice, huh?","This small kanji would be the perfect gift to give to the Shougun (???). The Shougun loves little things, and the little kanji represents all of that.","You read that right, shougun is written with a long ? sound. Make sure you spell it right from now on!",145,level2 kanji
?,Stand,"??, ???",?,?,-,stand,,"The radical stand and the kanji stand are the same thing, so now you know them both.","If you're keeping up with your radical studies, you're also keeping up with your kanji studies!",Think of someone who has to stand up straight for you. These people are pros in hospitality. These are the doormen at the Ritz (??).,"Imagine the doormen being extra straight… too straight in their standing. On their uniform is “The Ritz” written in fine lettering, and as you walk past them, they stand up straight and say “Welcome to the Ritz!” Whatever you do, while you’re thinking about it, make sure you think about how they stand up so straight, and associate it with these doormen, who work, specifically, at the Ritz. If you effectively imagine all this, you should be able to remember this on’yomi. Go through it like it’s a movie in your head!",146,level2 kanji
?,Street,"???, ??",-,?,-,street,,The kanji and the radical that look like this are exactly the same. They are both street.,"As long as you know the radical street, you know the kanji street.","So you're walking down this street, and off in the distance you see the silhouette of somebody. A lady. Big, black curly hair and red eyes. It is the street-woman, Mrs. Chou (???).","Mrs. Chou is a character you'll see a lot throughout WaniKani, anytime the reading is ??? like this one. A lore will develop around her, so the more vividly you can imagine your Mrs. Chou right now, the easier things will get later. In general, she's a mean, evil woman, so as long as you imagine her within those parameters, you're good. And, when I say she is a ""street-woman"" in the mnemonic, I don't mean she is homeless. She has a nice, middle-class home that's not outside of her financial means. What I'm saying is she wanders the streets looking for evil things to do. These are HER streets. So whenever you see the street radical, know that Mrs. Chou is probably going to show up!",147,kanji level2
